id,mentor_or_mentee,preference_1,preference_2,preference_3,preference_4,preference_5,preference_6,preference_7,preference_8,preference_9,preference_10,preference_11,preference_12,preference_13,preference_14,preference_15,industry,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,gender,gender_preference
163,mentor,23,182,98,109,179,197,29,19,96,188,123,144,124,18,38,Media and News;Pharmaceutical;Entrepreneurship;Government;,5,8,6,4,5,4,Female,Male
164,mentor,111,81,133,146,195,22,198,167,53,7,126,14,80,118,89,Consulting;Hospitality;,10,1,3,5,9,8,Nonbinary/Fluid/Gender Queer,Female
165,mentor,137,129,69,5,136,127,37,184,31,102,77,148,32,26,61,Human Resources;Healthcare;Legal;,9,3,9,1,1,4,Male,Female
166,mentor,112,20,153,125,9,173,113,81,92,1,147,13,60,15,84,Technology;Nonprofit;Education;,3,5,9,4,8,10,Female,Male
167,mentor,173,128,43,139,59,154,181,107,14,66,57,123,58,192,9,Arts and Design;,6,4,3,2,7,4,Nonbinary/Fluid/Gender Queer,Nonbinary/Fluid/Gender Queer
168,mentor,50,146,36,198,153,12,6,7,57,47,104,20,133,90,33,Hospitality;Fashion;Technology;Entrepreneurship;Agriculture;,3,9,4,10,6,3,Nonbinary/Fluid/Gender Queer,No Preference
169,mentor,74,42,190,158,93,153,44,177,3,92,113,132,12,187,34,Advertising/Marketing;Other;Healthcare;,6,3,10,10,3,9,Nonbinary/Fluid/Gender Queer,Female
170,mentor,95,76,179,1,145,50,185,61,45,130,158,98,162,180,140,Food and Beverage;,1,2,8,7,1,1,Female,No Preference
171,mentor,153,100,145,118,19,7,75,135,1,52,114,87,88,82,123,Engineering;Arts and Design;Food and Beverage;,3,1,3,1,2,7,Nonbinary/Fluid/Gender Queer,Male
172,mentor,127,80,59,82,61,118,150,138,130,33,164,195,139,73,110,Technology;Education;,10,10,10,10,10,3,Male,Male
173,mentor,159,15,149,180,85,11,126,187,125,51,109,13,48,33,129,Legal;Finance;Food and Beverage;Arts and Design;,5,3,1,7,6,3,Female,Nonbinary/Fluid/Gender Queer
174,mentor,25,120,117,91,20,60,134,57,36,40,177,51,123,59,10,Government;Fashion;Hospitality;Entrepreneurship;,7,10,3,6,5,4,Nonbinary/Fluid/Gender Queer,Male
175,mentor,146,53,29,67,196,182,30,120,64,106,140,57,118,52,35,Real Estate;Government;Engineering;Advertising/Marketing;Arts and Design;,1,6,3,4,3,5,Female,No Preference
176,mentor,85,13,127,129,2,14,70,145,150,17,171,151,84,192,115,Engineering;,5,9,2,10,4,3,Male,Nonbinary/Fluid/Gender Queer
177,mentor,179,147,141,163,180,164,78,29,106,6,156,44,43,83,114,Fashion;Nonprofit;Consulting;Entertainment;Accounting;,5,7,10,5,8,3,Male,Nonbinary/Fluid/Gender Queer
178,mentor,41,40,125,186,79,31,50,166,80,127,68,14,48,32,120,Legal;Aerospace;Entertainment;Food and Beverage;Technology;,8,10,6,10,8,8,Male,No Preference
179,mentor,101,182,80,98,128,123,110,76,71,5,75,147,158,196,115,Consulting;Aerospace;,3,9,2,6,6,2,Male,No Preference
180,mentor,194,155,39,66,100,14,180,192,165,157,82,164,57,150,48,Real Estate;,5,4,7,2,8,2,Male,Nonbinary/Fluid/Gender Queer
181,mentor,76,29,37,92,89,134,187,42,71,86,23,104,62,121,173,Agriculture;Food and Beverage;Nonprofit;,1,9,9,1,6,9,Female,No Preference
182,mentor,28,112,181,66,49,130,107,110,20,98,153,186,146,189,136,Technology;Entrepreneurship;Government;Real Estate;,7,8,9,10,1,7,Female,Male
183,mentor,163,137,103,198,176,37,96,130,109,46,141,35,78,95,160,Entertainment;Food and Beverage;Engineering;,7,3,2,6,5,5,Nonbinary/Fluid/Gender Queer,No Preference
184,mentor,103,184,107,23,76,20,1,146,74,93,118,45,166,171,95,Healthcare;Pharmaceutical;,1,4,3,2,9,1,Male,Male
185,mentor,96,164,47,20,114,28,167,93,152,73,86,173,186,151,41,Hospitality;Real Estate;,2,1,2,8,1,1,Nonbinary/Fluid/Gender Queer,Female
186,mentor,23,170,15,180,148,63,70,177,26,19,78,115,42,186,128,Nonprofit;Entrepreneurship;,10,5,7,9,1,10,Male,Nonbinary/Fluid/Gender Queer
187,mentor,90,89,46,24,115,119,31,60,101,62,69,134,73,43,68,Real Estate;Agriculture;Media and News;,5,6,7,9,3,1,Male,Male
188,mentor,146,4,179,160,74,33,157,199,165,139,191,181,106,16,164,Pharmaceutical;Healthcare;Legal;Engineering;,2,8,4,1,8,1,Male,No Preference
189,mentor,104,21,42,128,34,28,35,112,61,191,98,101,175,105,16,Media and News;,9,9,7,6,5,6,Female,Female
190,mentor,143,93,128,131,27,98,114,154,48,122,191,120,40,34,15,Food and Beverage;Government;Media and News;,7,9,7,6,1,10,Nonbinary/Fluid/Gender Queer,No Preference
191,mentor,180,56,61,197,18,187,179,86,1,44,76,13,54,125,138,Accounting;Government;Food and Beverage;Agriculture;,10,7,8,9,3,9,Nonbinary/Fluid/Gender Queer,Nonbinary/Fluid/Gender Queer
192,mentor,147,57,78,126,36,149,125,33,196,81,29,4,40,17,62,Finance;Legal;Government;Media and News;,7,3,7,3,6,2,Nonbinary/Fluid/Gender Queer,Male
193,mentor,93,62,119,199,129,92,24,57,4,20,55,187,160,9,17,Finance;,10,10,10,2,4,1,Male,Female
194,mentor,142,129,189,109,137,85,48,77,191,126,21,172,169,108,195,Human Resources;Education;Technology;,3,9,10,5,6,8,Nonbinary/Fluid/Gender Queer,Male
195,mentor,56,130,173,124,128,92,150,23,172,85,77,36,190,145,57,Arts and Design;,3,7,3,5,6,10,Nonbinary/Fluid/Gender Queer,No Preference
196,mentor,168,5,36,142,194,157,61,90,126,177,41,190,88,96,116,Food and Beverage;Agriculture;Aerospace;Hospitality;,7,1,1,8,10,1,Female,No Preference
197,mentor,190,182,173,191,31,186,39,54,169,153,12,79,131,53,87,Hospitality;Accounting;Consulting;Food and Beverage;Fashion;,6,1,2,4,10,10,Nonbinary/Fluid/Gender Queer,Male
198,mentor,124,166,19,156,77,22,186,154,104,47,58,53,37,146,178,Technology;Food and Beverage;Agriculture;Real Estate;Media and News;,8,6,7,2,9,5,Nonbinary/Fluid/Gender Queer,Female
199,mentor,80,192,146,168,137,114,23,49,75,9,158,175,118,7,98,Entertainment;Advertising/Marketing;Accounting;,3,7,3,4,3,9,Male,Nonbinary/Fluid/Gender Queer
0,mentee,31,125,118,17,185,57,145,102,190,148,30,25,32,69,163,Food and Beverage;Hospitality;Entrepreneurship;Finance;,7,3,9,10,5,1,Male,Female
1,mentee,153,82,108,160,7,78,138,89,83,144,131,11,122,25,133,Advertising/Marketing;Agriculture;Food and Beverage;,1,9,7,6,5,10,Male,Female
2,mentee,79,24,92,197,100,132,107,167,93,2,124,59,85,95,106,Healthcare;Entrepreneurship;Agriculture;Nonprofit;,3,10,10,9,4,2,Female,No Preference
3,mentee,125,183,3,145,108,40,167,30,62,191,25,14,35,61,195,Arts and Design;Technology;Hospitality;Engineering;,8,3,8,1,2,8,Female,No Preference
4,mentee,1,2,13,134,157,147,37,68,166,170,42,30,177,121,154,Healthcare;Food and Beverage;,3,3,8,1,9,9,Nonbinary/Fluid/Gender Queer,Female
5,mentee,5,3,112,92,50,100,9,160,104,194,17,136,187,19,23,Legal;Pharmaceutical;,4,2,4,10,2,5,Male,No Preference
6,mentee,137,12,113,177,76,36,14,62,196,143,29,194,181,86,171,Healthcare;Hospitality;Real Estate;Finance;Government;,3,9,5,3,9,4,Male,No Preference
7,mentee,68,126,8,167,182,140,150,13,102,70,35,41,169,177,46,Agriculture;Nonprofit;Pharmaceutical;,2,8,8,7,8,1,Nonbinary/Fluid/Gender Queer,No Preference
8,mentee,68,62,84,76,134,57,123,25,193,74,37,108,33,0,17,Advertising/Marketing;Food and Beverage;Legal;Government;Fashion;,2,10,6,8,9,4,Nonbinary/Fluid/Gender Queer,Female
9,mentee,139,55,146,170,191,117,85,152,67,172,52,102,126,87,56,Education;Advertising/Marketing;,7,10,6,10,4,7,Male,Female
10,mentee,110,163,189,143,24,194,93,133,83,54,4,82,76,167,199,Entrepreneurship;,4,7,6,10,4,2,Female,Male
11,mentee,136,112,190,168,104,42,115,53,139,93,154,12,196,3,133,Nonprofit;,1,8,6,4,3,4,Nonbinary/Fluid/Gender Queer,No Preference
12,mentee,178,8,14,120,186,117,57,158,50,63,93,182,194,103,56,Technology;Government;,8,5,1,2,4,5,Male,No Preference
13,mentee,84,107,19,96,155,59,66,27,190,34,10,162,44,9,175,Accounting;Pharmaceutical;Fashion;Technology;,3,4,3,10,5,10,Female,Female
14,mentee,58,21,120,107,106,35,152,40,90,183,2,116,3,186,151,Accounting;,2,5,9,1,10,9,Female,Female
15,mentee,157,89,63,99,135,40,19,68,42,79,102,139,121,32,14,Technology;Legal;Hospitality;Accounting;,9,4,10,3,2,4,Female,Female
16,mentee,78,114,161,33,80,157,7,47,30,56,151,179,37,62,13,Healthcare;Fashion;Government;Finance;Technology;,2,1,4,4,9,1,Female,Male
17,mentee,84,76,109,123,176,59,132,83,198,50,169,140,41,54,43,Agriculture;Real Estate;Fashion;Government;Nonprofit;,8,10,2,7,10,1,Female,No Preference
18,mentee,196,195,58,149,116,82,25,93,79,94,174,122,24,135,76,Legal;,8,10,2,3,9,5,Female,No Preference
19,mentee,147,133,57,182,115,69,61,185,193,175,43,145,21,35,94,Pharmaceutical;Food and Beverage;Aerospace;Real Estate;Technology;,4,4,4,9,6,6,Male,No Preference
20,mentee,168,136,60,105,166,98,123,37,76,119,89,40,142,129,7,Media and News;Government;Other;Food and Beverage;Healthcare;,2,3,4,1,9,1,Male,No Preference
21,mentee,117,153,79,42,50,188,131,58,90,40,76,107,60,13,103,Finance;Food and Beverage;Pharmaceutical;Nonprofit;Hospitality;,9,6,1,4,1,9,Female,No Preference
22,mentee,182,189,105,158,50,162,63,76,96,27,13,10,81,0,23,Legal;Education;,3,8,3,9,3,5,Male,Male
23,mentee,102,61,79,118,191,140,87,176,97,171,113,38,149,119,188,Food and Beverage;Nonprofit;Finance;Real Estate;,2,8,4,9,4,5,Female,Nonbinary/Fluid/Gender Queer
24,mentee,53,180,37,1,93,41,191,184,7,82,199,9,129,111,136,Aerospace;Arts and Design;Advertising/Marketing;Human Resources;,3,6,8,9,7,8,Female,No Preference
25,mentee,88,154,89,67,85,198,137,66,147,35,194,186,177,108,74,Human Resources;Food and Beverage;,5,4,3,1,4,7,Female,No Preference
26,mentee,196,19,155,141,2,3,112,31,194,187,89,91,58,124,93,Media and News;Aerospace;Food and Beverage;Technology;,6,8,1,2,10,5,Female,Male
27,mentee,185,80,84,153,109,23,102,38,195,100,179,199,110,79,127,Entertainment;,3,4,2,3,2,10,Male,No Preference
28,mentee,68,116,22,197,124,114,198,9,184,17,64,104,135,13,10,Agriculture;Aerospace;Other;Media and News;Finance;,6,8,10,3,6,3,Nonbinary/Fluid/Gender Queer,No Preference
29,mentee,92,137,57,166,145,33,143,83,136,73,100,84,46,159,66,Fashion;Entertainment;Other;Entrepreneurship;Aerospace;,2,5,7,7,9,3,Female,No Preference
30,mentee,4,96,145,42,47,73,132,100,29,157,106,101,104,196,18,Consulting;,6,10,7,2,7,9,Male,No Preference
31,mentee,60,57,119,109,24,47,92,176,165,43,183,134,160,142,4,Education;,10,1,7,10,9,9,Male,No Preference
32,mentee,150,68,75,113,180,175,186,129,165,176,168,24,82,153,47,Legal;Fashion;Agriculture;Food and Beverage;Entertainment;,6,1,10,6,8,8,Male,No Preference
33,mentee,181,167,76,62,59,151,7,182,162,101,18,173,184,14,121,Agriculture;Nonprofit;Finance;Human Resources;,4,9,8,2,10,7,Female,No Preference
34,mentee,80,77,56,85,42,154,150,98,177,102,136,31,73,112,175,Entertainment;Human Resources;,6,10,3,1,7,2,Male,Nonbinary/Fluid/Gender Queer
35,mentee,70,156,92,100,136,142,49,8,115,93,2,131,111,61,190,Education;,5,3,1,10,6,6,Female,Male
36,mentee,30,47,114,166,57,161,100,107,154,103,60,39,183,48,46,Hospitality;Arts and Design;Finance;Advertising/Marketing;,8,6,6,8,6,1,Female,No Preference
37,mentee,57,144,157,95,99,122,161,63,14,199,30,108,109,49,16,Arts and Design;,3,7,4,9,10,10,Nonbinary/Fluid/Gender Queer,Male
38,mentee,140,127,72,161,11,175,162,42,104,62,90,34,46,172,69,Food and Beverage;Finance;Media and News;,8,8,1,1,5,6,Male,Female
39,mentee,132,171,119,146,63,135,142,187,20,194,138,110,49,180,90,Real Estate;Healthcare;Nonprofit;Other;,7,10,4,4,8,9,Male,No Preference
40,mentee,152,173,170,134,168,110,131,78,5,145,157,158,23,167,106,Media and News;Advertising/Marketing;Education;Consulting;,8,8,7,5,7,8,Male,Male
41,mentee,167,92,182,9,26,199,42,68,100,151,52,23,84,105,195,Entertainment;Agriculture;Nonprofit;Accounting;Hospitality;,8,7,3,3,2,2,Male,Male
42,mentee,94,33,198,108,189,169,41,111,153,151,152,194,171,73,36,Technology;Food and Beverage;Hospitality;Other;,10,6,4,1,8,4,Male,Female
43,mentee,83,176,163,48,129,131,179,123,144,161,133,157,74,49,84,Education;Accounting;Nonprofit;,4,9,4,8,7,3,Male,Male
44,mentee,174,171,54,87,144,102,50,138,98,71,56,126,164,85,192,Engineering;Pharmaceutical;Hospitality;,6,10,3,5,5,6,Male,Female
45,mentee,43,72,8,159,192,105,82,64,186,148,114,88,130,135,69,Pharmaceutical;Entertainment;Education;Fashion;,4,2,4,7,9,1,Female,Female
46,mentee,113,31,93,114,48,25,126,199,99,146,136,132,124,8,29,Real Estate;Arts and Design;Pharmaceutical;Advertising/Marketing;Entrepreneurship;,10,3,2,6,10,6,Nonbinary/Fluid/Gender Queer,Nonbinary/Fluid/Gender Queer
47,mentee,57,115,16,157,6,125,182,113,134,197,141,82,56,37,114,Government;Finance;Human Resources;,6,7,6,4,10,10,Female,Nonbinary/Fluid/Gender Queer
48,mentee,116,128,147,181,69,94,110,71,22,158,187,5,48,81,162,Pharmaceutical;Other;Human Resources;Engineering;Arts and Design;,9,4,4,6,6,5,Female,No Preference
49,mentee,138,78,103,74,140,85,29,116,52,180,157,40,101,94,148,Education;,9,9,7,3,10,8,Female,Female
50,mentee,18,17,144,181,187,168,189,100,41,73,132,191,29,162,49,Arts and Design;Nonprofit;Technology;,6,7,7,8,7,2,Female,Female
51,mentee,85,161,150,44,174,12,137,94,73,13,192,28,53,75,36,Accounting;Agriculture;Technology;,2,8,2,10,5,8,Female,Male
52,mentee,38,97,186,127,125,157,145,89,160,72,132,93,102,87,10,Accounting;Healthcare;Consulting;Agriculture;Media and News;,9,4,5,1,10,5,Male,Male
53,mentee,20,147,174,172,198,108,58,68,109,21,46,169,73,51,199,Education;,4,1,2,3,2,4,Nonbinary/Fluid/Gender Queer,No Preference
54,mentee,17,86,62,46,44,4,186,180,196,43,53,107,115,25,131,Finance;,1,10,4,3,5,6,Male,Nonbinary/Fluid/Gender Queer
55,mentee,77,130,7,63,149,122,128,93,179,26,38,114,135,25,27,Education;Engineering;Human Resources;,8,3,1,2,8,3,Nonbinary/Fluid/Gender Queer,No Preference
56,mentee,31,79,75,66,160,57,39,50,15,81,149,24,138,122,143,Human Resources;Legal;Education;Consulting;Arts and Design;,4,4,10,7,2,2,Nonbinary/Fluid/Gender Queer,No Preference
57,mentee,100,15,97,115,32,146,134,159,78,137,58,73,144,158,104,Legal;,4,8,6,8,2,1,Male,Male
58,mentee,62,178,158,87,128,142,72,69,50,79,21,132,34,10,84,Arts and Design;Real Estate;Accounting;Fashion;Healthcare;,4,9,2,4,10,1,Female,Male
59,mentee,66,60,45,121,47,165,183,136,129,187,79,55,170,130,126,Technology;Nonprofit;Entertainment;Fashion;,6,5,7,9,8,9,Female,No Preference
60,mentee,65,3,44,157,173,161,102,110,139,46,78,72,143,40,8,Legal;,1,8,9,8,5,8,Nonbinary/Fluid/Gender Queer,Nonbinary/Fluid/Gender Queer
61,mentee,157,108,99,134,186,80,137,147,176,46,146,78,39,122,9,Government;,1,1,4,6,1,3,Female,No Preference
62,mentee,52,40,32,84,107,124,92,96,174,29,183,19,191,13,140,Engineering;Healthcare;Education;,8,4,1,8,7,4,Male,No Preference
63,mentee,85,151,103,193,163,159,60,66,119,107,75,158,54,176,162,Entertainment;Education;Pharmaceutical;,3,1,6,7,3,5,Female,Female
64,mentee,83,127,68,163,161,162,54,123,139,142,152,56,49,198,144,Healthcare;Arts and Design;Agriculture;Hospitality;,4,4,1,2,1,3,Female,Nonbinary/Fluid/Gender Queer
65,mentee,100,8,127,49,42,128,101,90,142,43,55,45,125,97,118,Advertising/Marketing;Healthcare;Entertainment;Government;,10,9,3,9,3,5,Male,Female
66,mentee,197,35,127,10,119,93,9,58,184,37,173,45,16,71,158,Engineering;Accounting;,6,3,2,5,3,4,Nonbinary/Fluid/Gender Queer,Female
67,mentee,126,31,150,47,146,58,107,168,42,12,147,7,76,81,34,Government;Food and Beverage;,2,10,1,2,4,6,Male,No Preference
68,mentee,144,76,172,48,128,23,110,150,115,148,7,58,70,149,187,Accounting;,10,8,2,7,2,6,Female,Nonbinary/Fluid/Gender Queer
69,mentee,152,9,190,119,69,163,130,173,36,117,118,158,150,15,196,Healthcare;Engineering;,9,4,3,3,5,7,Nonbinary/Fluid/Gender Queer,No Preference
70,mentee,70,175,148,121,60,90,119,63,135,111,112,69,15,50,100,Accounting;Engineering;Fashion;Healthcare;,1,6,3,1,9,4,Female,Nonbinary/Fluid/Gender Queer
71,mentee,77,73,23,126,94,113,37,64,138,21,128,187,193,188,24,Advertising/Marketing;Finance;Healthcare;Food and Beverage;Legal;,10,4,5,5,7,5,Female,No Preference
72,mentee,30,51,146,56,72,13,131,60,2,143,98,36,95,130,174,Entertainment;Human Resources;Entrepreneurship;,8,8,3,6,2,6,Male,No Preference
73,mentee,159,196,181,101,80,23,76,120,164,20,137,75,177,166,199,Pharmaceutical;Fashion;Entrepreneurship;Technology;,5,2,2,8,5,1,Male,No Preference
74,mentee,82,53,123,63,100,184,55,137,178,157,149,101,172,153,92,Other;Healthcare;Hospitality;Nonprofit;,6,4,9,8,7,7,Male,Male
75,mentee,175,46,119,43,72,151,135,127,41,61,114,51,62,164,162,Advertising/Marketing;Agriculture;Entrepreneurship;Consulting;,7,10,5,8,4,1,Male,No Preference
76,mentee,37,192,163,175,165,67,43,70,182,79,32,91,47,55,178,Advertising/Marketing;,8,7,6,9,5,6,Female,No Preference
77,mentee,110,166,79,83,37,95,147,129,128,122,57,92,127,63,181,Engineering;Aerospace;,5,10,9,2,2,8,Male,No Preference
78,mentee,8,35,22,42,112,131,184,29,55,2,88,199,175,6,101,Arts and Design;Technology;Human Resources;Hospitality;Nonprofit;,6,1,9,8,1,9,Nonbinary/Fluid/Gender Queer,No Preference
79,mentee,99,61,114,116,87,195,9,57,30,81,110,119,90,196,104,Advertising/Marketing;Arts and Design;Fashion;Food and Beverage;,2,1,2,7,5,8,Female,Male
80,mentee,5,90,73,6,72,176,41,107,48,174,124,158,47,69,111,Arts and Design;Nonprofit;Advertising/Marketing;Food and Beverage;,4,8,10,8,6,1,Female,Nonbinary/Fluid/Gender Queer
81,mentee,102,89,150,114,171,136,163,158,166,12,199,76,126,144,61,Technology;Arts and Design;Government;,8,7,5,6,1,10,Male,Female
82,mentee,91,97,9,134,163,102,168,173,80,136,87,85,115,135,100,Technology;,8,3,10,6,5,9,Male,No Preference
83,mentee,165,146,1,119,2,127,88,7,114,113,26,192,117,5,59,Real Estate;,6,5,3,2,6,6,Male,Female
84,mentee,31,69,47,178,166,151,157,70,6,190,183,120,114,198,54,Technology;Entertainment;Entrepreneurship;,2,8,9,5,3,10,Female,Female
85,mentee,85,63,102,123,64,56,187,91,117,128,80,107,43,155,125,Technology;Advertising/Marketing;Other;Government;Accounting;,6,4,7,7,6,10,Female,Nonbinary/Fluid/Gender Queer
86,mentee,123,121,117,164,110,19,156,130,97,153,17,194,18,148,98,Engineering;,10,5,1,8,6,8,Female,Male
87,mentee,172,98,3,1,121,187,10,82,132,97,17,83,129,62,49,Technology;,8,3,9,4,7,3,Male,Female
88,mentee,60,123,149,14,197,155,166,9,57,113,115,121,11,120,25,Media and News;Human Resources;Entrepreneurship;Healthcare;,6,9,9,2,9,5,Male,No Preference
89,mentee,52,166,114,17,150,168,142,37,93,174,87,98,179,164,181,Fashion;Agriculture;,4,4,4,9,6,7,Male,No Preference
90,mentee,79,116,144,111,0,58,65,107,131,174,99,175,72,167,45,Pharmaceutical;Engineering;Nonprofit;Finance;Advertising/Marketing;,1,5,7,5,5,6,Nonbinary/Fluid/Gender Queer,No Preference
91,mentee,30,121,1,146,100,169,36,65,136,81,78,112,182,145,137,Fashion;Human Resources;,8,3,2,3,6,7,Male,No Preference
92,mentee,76,53,130,16,188,166,82,192,97,94,27,136,160,24,84,Hospitality;,5,1,7,8,1,4,Male,Female
93,mentee,140,192,64,174,6,99,65,113,183,189,143,1,61,145,191,Entrepreneurship;Government;Media and News;Finance;Consulting;,4,1,7,9,2,4,Female,No Preference
94,mentee,133,147,182,7,87,71,153,100,3,40,190,5,144,43,27,Food and Beverage;Engineering;,4,8,4,4,9,4,Male,No Preference
95,mentee,0,89,103,49,189,41,48,71,157,43,63,96,131,15,3,Entertainment;,4,7,2,3,9,2,Nonbinary/Fluid/Gender Queer,Female
96,mentee,190,108,10,52,17,97,138,91,195,154,192,55,29,70,150,Entertainment;Advertising/Marketing;Arts and Design;Human Resources;Hospitality;,10,6,9,6,7,8,Female,No Preference
97,mentee,126,9,5,17,132,115,131,192,35,128,41,13,101,182,168,Finance;Hospitality;Food and Beverage;,4,5,1,10,8,10,Female,No Preference
98,mentee,76,181,10,5,182,166,66,165,130,109,2,0,128,54,169,Education;Healthcare;Agriculture;Hospitality;Entrepreneurship;,3,4,4,7,8,9,Male,No Preference
99,mentee,24,77,16,133,51,107,158,127,56,52,91,161,82,157,1,Entrepreneurship;,9,7,3,6,9,2,Female,Female
100,mentee,87,122,134,136,73,58,68,133,48,55,174,149,92,198,117,Fashion;,2,10,2,7,4,8,Female,No Preference
101,mentee,159,93,22,141,23,62,135,39,97,69,15,84,115,32,20,Human Resources;,8,9,3,9,3,5,Nonbinary/Fluid/Gender Queer,No Preference
102,mentee,167,81,138,185,166,11,18,196,133,38,176,23,116,169,28,Human Resources;Hospitality;Engineering;Consulting;Entertainment;,5,5,5,1,6,5,Female,No Preference
103,mentee,7,168,67,79,113,128,57,145,160,106,133,170,142,137,169,Other;Entertainment;Aerospace;,5,9,4,7,8,3,Male,No Preference
104,mentee,192,41,48,38,92,196,179,90,89,105,103,85,122,109,125,Hospitality;Agriculture;Technology;,3,4,3,4,8,7,Nonbinary/Fluid/Gender Queer,No Preference
105,mentee,12,148,50,30,130,107,46,102,195,3,129,29,169,170,27,Entrepreneurship;Advertising/Marketing;Arts and Design;,8,10,4,10,8,9,Male,No Preference
106,mentee,2,121,74,109,88,31,46,92,153,73,120,188,136,65,156,Healthcare;,9,4,1,10,1,7,Female,No Preference
107,mentee,31,0,130,141,194,65,70,16,71,92,135,156,96,164,153,Government;Consulting;,7,10,4,10,9,6,Male,Female
108,mentee,138,196,160,65,38,79,130,4,146,116,11,199,56,64,81,Agriculture;Technology;Education;Media and News;Nonprofit;,2,4,8,2,5,5,Male,No Preference
109,mentee,105,131,173,100,40,18,144,23,17,149,51,140,45,183,165,Entertainment;,5,10,8,4,2,10,Male,No Preference
110,mentee,149,123,97,184,189,56,174,62,115,170,131,55,58,61,186,Accounting;Advertising/Marketing;Entertainment;Legal;Engineering;,7,2,9,2,5,5,Female,Nonbinary/Fluid/Gender Queer
111,mentee,63,178,105,151,92,40,142,80,10,112,68,3,2,81,141,Accounting;Food and Beverage;Real Estate;Pharmaceutical;,8,2,1,3,4,7,Female,Nonbinary/Fluid/Gender Queer
112,mentee,165,43,182,193,27,90,173,104,7,125,101,35,65,15,187,Fashion;Technology;Nonprofit;Consulting;,3,4,10,8,5,1,Male,No Preference
113,mentee,187,143,140,11,79,5,146,47,181,172,37,68,71,78,111,Education;Entertainment;Human Resources;Finance;,1,7,1,7,6,4,Female,Female
114,mentee,98,19,119,112,80,106,113,1,190,94,18,114,198,109,191,Legal;Pharmaceutical;Aerospace;,10,1,9,4,8,9,Female,No Preference
115,mentee,19,175,162,13,46,74,93,177,181,139,94,84,91,15,82,Legal;Nonprofit;Arts and Design;Consulting;Fashion;,4,4,9,5,4,6,Nonbinary/Fluid/Gender Queer,No Preference
116,mentee,171,55,179,155,87,139,45,0,148,162,47,10,13,185,25,Accounting;,10,3,2,7,3,2,Male,No Preference
117,mentee,156,100,85,1,112,165,120,52,2,171,188,139,26,183,7,Nonprofit;Pharmaceutical;,6,6,10,8,1,1,Female,No Preference
118,mentee,178,182,65,41,142,84,34,141,101,26,167,81,156,23,99,Food and Beverage;Finance;Entrepreneurship;Pharmaceutical;,7,6,2,7,5,10,Nonbinary/Fluid/Gender Queer,No Preference
119,mentee,111,96,113,158,185,22,71,171,188,164,13,110,7,15,106,Technology;Advertising/Marketing;Pharmaceutical;,4,3,5,8,3,1,Female,No Preference
120,mentee,162,102,68,98,188,26,2,140,1,127,184,194,51,86,15,Fashion;Entrepreneurship;Arts and Design;,9,6,9,3,8,10,Nonbinary/Fluid/Gender Queer,Male
121,mentee,122,169,107,190,149,148,147,109,180,4,193,192,14,81,117,Hospitality;Aerospace;Healthcare;Nonprofit;Other;,5,2,9,1,3,3,Nonbinary/Fluid/Gender Queer,Nonbinary/Fluid/Gender Queer
122,mentee,114,12,76,48,18,108,38,53,146,66,105,9,56,61,93,Real Estate;Accounting;Food and Beverage;Consulting;,9,9,7,10,9,9,Female,No Preference
123,mentee,5,63,0,171,151,21,92,10,59,7,144,64,129,107,4,Consulting;Food and Beverage;Education;,8,6,5,7,7,6,Male,Male
124,mentee,128,152,57,85,11,141,29,153,14,114,28,26,134,118,30,Fashion;,10,5,9,10,2,3,Female,Female
125,mentee,193,187,120,115,25,114,171,149,42,21,174,6,71,123,122,Real Estate;,3,6,2,10,1,7,Male,No Preference
126,mentee,114,91,15,178,139,126,129,96,29,62,149,169,59,16,64,Fashion;Real Estate;,7,5,5,3,3,8,Male,No Preference
127,mentee,70,132,87,0,28,38,44,65,79,109,107,95,24,13,82,Media and News;Food and Beverage;Finance;Government;Advertising/Marketing;,10,1,9,9,10,5,Female,No Preference
128,mentee,13,62,19,51,170,193,172,116,20,189,144,183,141,147,88,Real Estate;Engineering;Nonprofit;,4,4,2,10,10,10,Male,Nonbinary/Fluid/Gender Queer
129,mentee,187,193,97,46,33,157,20,175,119,197,150,10,183,134,32,Education;Entrepreneurship;,4,2,6,1,9,9,Nonbinary/Fluid/Gender Queer,No Preference
130,mentee,103,199,98,8,89,144,170,31,43,86,122,13,78,136,57,Engineering;,5,10,6,9,1,2,Female,Female
131,mentee,183,103,57,81,33,47,4,61,80,58,39,109,150,121,167,Finance;Arts and Design;,4,3,10,6,5,8,Female,Male
132,mentee,22,191,35,128,63,179,95,130,39,195,85,156,133,144,11,Aerospace;Finance;Technology;Real Estate;Engineering;,10,9,5,3,6,2,Male,No Preference
133,mentee,196,26,144,83,4,22,49,51,73,153,55,11,14,13,65,Hospitality;Media and News;Human Resources;Food and Beverage;Technology;,10,2,5,3,10,7,Female,Male
134,mentee,115,132,142,170,41,181,167,56,48,24,46,44,75,45,199,Other;Fashion;,5,4,3,10,6,3,Nonbinary/Fluid/Gender Queer,No Preference
135,mentee,188,66,182,184,88,89,67,9,64,158,76,141,199,63,173,Hospitality;Pharmaceutical;Government;Advertising/Marketing;Healthcare;,10,6,10,9,1,6,Male,Nonbinary/Fluid/Gender Queer
