ID,Mentor or Mentee?,Preference 1,Preference 2,Preference 3,Preference 4,Preference 5,Preference 6,Preference 7,Preference 8,Preference 9,Preference 10,Preference 11,Preference 12,Preference 13,Preference 14,Preference 15,Industry,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Gender,Gender Preference
196,Mentor,67,127,185,18,20,22,0,50,84,27,94,40,187,151,61,Mining;Hospitality,6,2,7,3,10,5,Male,No Preference
197,Mentor,194,75,47,44,35,33,58,109,106,199,72,62,125,24,73,Pharmaceuticals;Biotechnology,1,8,2,3,10,7,Female,Female
198,Mentor,47,136,34,191,129,46,40,131,132,11,151,184,15,189,179,Agriculture;Energy,4,10,2,6,8,7,Male,No Preference
199,Mentor,187,183,12,147,20,181,134,161,159,146,113,23,135,143,81,Telecommunications;Information Technology;Transportation and Logistics,8,10,3,5,7,1,Male,No Preference
0,Mentee,11,92,1,62,73,7,26,69,67,64,103,80,54,128,99,Construction;Mining;Automotive,7,9,1,3,6,8,Female,Female
1,Mentee,181,103,105,175,41,158,2,180,198,127,138,186,59,21,141,Energy,4,5,9,8,7,1,Male,No Preference
2,Mentee,61,141,189,85,164,8,23,68,184,153,123,15,162,131,187,Transportation and Logistics,7,3,10,6,1,2,Female,No Preference
3,Mentee,197,113,18,150,89,165,32,127,98,161,134,155,112,102,70,Biotechnology;Automotive,9,6,10,3,4,7,Male,No Preference
4,Mentee,153,35,117,101,130,187,65,43,68,184,142,109,32,115,193,Mining;Transportation and Logistics;Agriculture,9,4,2,3,1,5,Male,No Preference
5,Mentee,46,168,157,14,142,85,133,49,179,100,161,169,104,122,153,Agriculture,9,4,7,3,5,6,Male,No Preference
6,Mentee,135,35,0,55,103,117,20,88,154,109,127,147,2,24,106,Mining;Automotive,5,3,4,6,9,8,Male,No Preference
7,Mentee,54,93,80,185,191,73,57,7,169,184,5,16,108,128,10,Construction,3,5,1,2,4,8,Female,No Preference
8,Mentee,116,167,185,84,144,61,133,11,76,107,73,58,35,162,69,Manufacturing,10,7,5,2,1,8,Female,No Preference
9,Mentee,6,173,35,4,39,148,32,176,107,100,0,83,43,155,113,Automotive;Mining;Pharmaceuticals,1,5,3,2,7,6,Male,No Preference
10,Mentee,188,169,3,93,16,72,80,10,53,184,61,73,128,185,108,Construction,5,2,6,3,4,1,Female,No Preference
11,Mentee,105,28,14,126,103,150,13,69,141,59,119,21,138,2,79,Energy,5,10,7,2,6,3,Female,Female
12,Mentee,154,3,60,139,59,93,20,123,67,8,31,19,137,85,69,Automotive;Telecommunications;Transportation and Logistics,3,2,9,6,1,10,Female,No Preference
13,Mentee,103,39,181,17,160,38,157,42,159,150,88,156,147,27,129,Consumer Goods;Information Technology;Automotive,7,4,8,10,5,3,Male,No Preference
14,Mentee,140,23,132,199,162,99,17,51,67,171,137,46,152,79,174,Telecommunications,10,5,6,2,7,1,Female,No Preference
15,Mentee,115,94,58,116,164,87,55,142,73,184,131,100,76,96,199,Manufacturing;Agriculture;Transportation and Logistics,6,5,9,10,2,3,Female,No Preference
16,Mentee,41,144,185,11,68,67,107,40,120,35,58,52,69,76,167,Manufacturing,6,5,4,3,9,7,Male,No Preference
17,Mentee,165,129,69,7,130,66,138,151,82,54,84,52,26,80,112,Manufacturing;Biotechnology;Pharmaceuticals,4,3,7,2,10,5,Female,Female
18,Mentee,147,117,61,43,73,82,187,70,131,35,11,79,68,18,130,Consumer Goods;Manufacturing;Mining,3,5,10,2,8,6,Male,No Preference
19,Mentee,0,93,107,3,110,125,73,105,131,185,82,68,35,6,38,Construction;Information Technology;Mining,7,5,10,3,9,4,Female,No Preference
20,Mentee,66,194,126,82,32,154,16,11,9,128,94,112,43,105,130,Real Estate;Information Technology;Mining,10,7,5,9,4,1,Female,Female
21,Mentee,121,14,108,99,70,113,62,11,59,1,154,150,20,13,41,Automotive;Energy,1,7,2,10,9,3,Female,No Preference
22,Mentee,180,147,88,23,16,139,117,12,81,185,160,71,111,134,195,Real Estate;Telecommunications;Hospitality,2,3,6,7,5,4,Female,No Preference
23,Mentee,17,15,1,8,101,147,11,20,23,24,13,19,0,16,4,Real Estate;Biotechnology;Transportation and Logistics,3,9,10,8,7,1,Non-binary,Non-binary
24,Mentee,47,4,96,46,122,129,59,145,35,78,31,67,20,162,29,Pharmaceuticals;Telecommunications,6,9,4,1,7,8,Female,No Preference
25,Mentee,35,120,116,68,63,137,95,76,57,44,127,148,111,40,162,Real Estate;Manufacturing,8,7,6,9,10,2,Male,Male
26,Mentee,42,126,45,92,160,52,10,38,16,156,83,157,86,181,129,Consumer Goods,9,6,10,8,7,3,Male,No Preference
27,Mentee,10,2,196,24,35,0,109,58,43,82,32,64,130,131,67,Mining,1,4,2,9,6,10,Male,No Preference
28,Mentee,100,29,46,175,80,194,36,96,22,47,186,13,145,82,161,Pharmaceuticals;Agriculture,2,7,8,3,4,1,Female,No Preference
29,Mentee,186,160,83,16,56,104,42,65,86,101,10,181,45,70,136,Consumer Goods,4,2,3,6,5,10,Female,No Preference
30,Mentee,94,127,139,13,44,42,128,198,69,147,114,184,7,182,88,Energy;Construction;Real Estate,7,10,2,1,6,8,Male,No Preference
31,Mentee,108,92,128,185,5,80,53,169,182,93,61,7,3,57,184,Construction,6,7,2,3,9,1,Female,No Preference
32,Mentee,190,136,129,13,185,56,79,181,150,8,6,160,161,117,5,Energy;Consumer Goods;Hospitality,5,9,2,6,3,7,Female,No Preference
33,Mentee,170,102,82,123,29,116,163,80,183,164,129,122,194,9,161,Hospitality;Pharmaceuticals,4,8,6,7,9,1,Female,No Preference
34,Mentee,52,141,91,79,5,107,103,133,139,126,74,105,168,51,67,Telecommunications;Energy;Manufacturing,9,4,2,6,8,10,Female,Female
35,Mentee,10,129,32,13,17,100,178,42,16,193,165,196,136,112,4,Biotechnology;Consumer Goods;Mining,1,5,3,6,10,2,Female,No Preference
36,Mentee,194,143,73,16,48,97,148,63,111,88,44,147,137,114,70,Real Estate,3,2,6,5,7,9,Female,No Preference
37,Mentee,29,47,82,170,129,4,6,7,36,197,175,149,19,173,166,Pharmaceuticals,4,1,3,7,9,5,Male,No Preference
38,Mentee,188,72,169,81,181,184,24,61,44,65,143,191,111,114,157,Construction;Consumer Goods;Real Estate,3,10,8,7,4,6,Male,Male
39,Mentee,98,89,79,45,180,170,1,105,66,165,158,116,153,194,177,Energy;Biotechnology;Information Technology,5,3,8,10,6,1,Male,No Preference
40,Mentee,181,13,176,186,198,41,138,116,53,108,1,155,161,83,79,Hospitality;Automotive;Energy,1,3,9,4,2,5,Male,No Preference
41,Mentee,91,41,11,116,46,67,107,78,31,162,139,28,144,75,2,Telecommunications;Manufacturing,1,4,7,9,8,5,Male,No Preference
42,Mentee,193,89,79,23,35,1,165,177,199,60,75,191,140,102,4,Telecommunications;Biotechnology,6,2,4,10,1,7,Male,No Preference
43,Mentee,143,65,35,187,59,44,171,17,81,79,184,168,148,74,157,Real Estate;Transportation and Logistics;Telecommunications,5,7,10,8,1,6,Female,No Preference
44,Mentee,1,155,152,22,176,83,65,20,6,145,4,183,127,77,70,Automotive;Pharmaceuticals;Hospitality,6,5,10,4,2,1,Female,No Preference
45,Mentee,91,68,41,11,162,71,50,185,120,67,52,167,35,5,40,Manufacturing,4,10,8,6,1,7,Male,No Preference
46,Mentee,103,60,198,89,32,34,112,20,130,164,137,138,127,15,177,Biotechnology;Telecommunications;Energy,1,5,10,3,7,2,Male,No Preference
47,Mentee,0,191,193,165,112,1,85,150,34,98,4,14,109,176,37,Agriculture;Biotechnology,5,4,9,3,6,1,Female,No Preference
48,Mentee,55,43,67,196,9,82,18,117,135,10,147,0,29,2,193,Mining,3,8,7,1,5,2,Female,No Preference
49,Mentee,112,97,24,63,114,194,44,111,57,33,81,11,147,195,134,Real Estate,6,1,4,10,5,3,Male,No Preference
50,Mentee,118,180,31,9,163,57,196,53,160,183,123,161,102,151,43,Hospitality,10,3,2,4,1,7,Female,No Preference
51,Mentee,124,56,92,17,86,57,11,134,168,66,181,148,44,45,95,Real Estate;Consumer Goods,3,6,8,4,2,1,Female,No Preference
52,Mentee,10,114,160,157,136,86,147,63,88,56,112,24,156,17,33,Real Estate;Consumer Goods,7,2,9,5,6,1,Male,No Preference
53,Mentee,166,80,19,173,36,149,122,194,82,129,65,7,197,170,22,Pharmaceuticals,4,5,6,8,9,1,Female,No Preference
54,Mentee,157,83,45,92,168,160,101,186,86,56,104,17,42,10,129,Consumer Goods,6,7,8,3,2,10,Male,No Preference
55,Mentee,56,27,104,143,147,170,182,81,199,0,38,116,76,6,179,Information Technology,1,8,6,2,4,9,Female,No Preference
56,Mentee,95,183,190,8,99,163,43,71,93,185,159,157,168,146,51,Telecommunications;Hospitality,8,3,10,4,1,6,Female,No Preference
57,Mentee,106,135,24,62,0,131,1,30,60,187,176,69,100,43,128,Mining;Automotive,4,3,9,6,10,5,Male,No Preference
58,Mentee,82,80,149,19,194,182,54,122,92,3,4,128,47,5,73,Construction;Pharmaceuticals,2,3,7,9,10,4,Female,Female
59,Mentee,171,93,62,78,168,132,74,172,2,79,31,35,17,24,59,Telecommunications,6,3,10,4,1,9,Male,No Preference
60,Mentee,130,50,69,84,41,24,127,14,120,68,39,13,18,186,193,Mining;Agriculture;Manufacturing,2,10,1,3,6,4,Male,No Preference
61,Mentee,138,159,41,185,12,151,31,195,119,13,160,174,43,21,198,Hospitality;Energy,1,2,9,8,10,3,Female,No Preference
62,Mentee,15,6,52,55,44,141,131,20,129,4,149,115,194,71,58,Transportation and Logistics;Pharmaceuticals;Manufacturing,6,7,2,3,4,1,Female,No Preference
63,Mentee,64,26,11,37,3,69,18,132,85,168,176,1,19,88,155,Agriculture;Automotive,9,2,7,10,4,3,Female,Female
64,Mentee,161,150,198,85,142,49,180,179,91,138,153,109,168,100,41,Agriculture;Energy,9,10,8,1,4,5,Female,No Preference
65,Mentee,91,79,133,59,167,137,52,40,152,93,116,157,29,140,146,Telecommunications;Manufacturing,3,2,5,6,4,10,Male,No Preference
66,Mentee,71,190,95,58,6,185,69,61,91,73,118,41,133,151,76,Manufacturing;Hospitality,10,3,9,7,2,5,Female,No Preference
67,Mentee,196,6,95,8,195,185,53,190,116,118,31,164,57,12,174,Hospitality,2,9,4,8,7,5,Male,Male
68,Mentee,78,134,100,130,171,107,132,58,59,62,152,168,51,79,32,Telecommunications;Mining,6,2,3,4,10,1,Female,Female
69,Mentee,22,13,19,27,17,6,4,7,147,25,0,1,8,15,26,Biotechnology;Information Technology;Pharmaceuticals,2,8,4,6,5,3,Non-binary,Non-binary
70,Mentee,19,75,170,76,69,199,143,6,38,176,11,113,182,104,45,Automotive;Information Technology,7,2,8,3,9,4,Non-binary,No Preference
71,Mentee,194,118,190,195,44,114,147,11,53,111,183,58,160,107,180,Real Estate;Hospitality;Manufacturing,10,7,8,5,4,9,Female,No Preference
72,Mentee,134,1,13,126,154,149,165,32,151,150,128,100,179,109,125,Construction;Information Technology;Biotechnology,8,2,5,6,9,10,Female,Female
73,Mentee,166,134,17,9,185,146,151,194,93,118,4,161,190,79,196,Telecommunications;Hospitality;Pharmaceuticals,8,5,6,3,1,9,Female,No Preference
74,Mentee,61,162,50,52,5,11,167,120,116,71,35,144,40,68,127,Manufacturing,7,9,10,3,5,1,Male,No Preference
75,Mentee,132,80,18,3,129,47,4,82,88,7,20,103,197,176,1,Pharmaceuticals;Automotive,6,9,10,7,4,2,Female,Female
76,Mentee,31,101,125,57,75,181,5,143,182,136,180,144,16,56,27,Hospitality;Information Technology;Consumer Goods,1,6,8,2,7,5,Female,No Preference
77,Mentee,35,82,7,3,193,9,182,123,73,93,24,191,60,100,29,Construction;Mining,3,5,9,4,6,10,Female,No Preference
78,Mentee,46,51,24,62,23,28,35,93,168,162,152,79,20,139,14,Telecommunications,10,1,4,2,7,9,Non-binary,No Preference
79,Mentee,142,94,97,11,48,91,13,111,49,157,161,122,64,124,179,Agriculture;Real Estate,2,10,8,1,3,5,Male,No Preference
80,Mentee,168,42,92,17,194,150,45,76,160,186,125,136,156,65,143,Information Technology;Consumer Goods,5,10,6,1,3,4,Female,No Preference
81,Mentee,172,66,31,29,46,116,69,67,134,78,41,14,11,35,195,Manufacturing;Real Estate;Telecommunications,10,9,7,3,2,4,Female,No Preference
82,Mentee,98,177,92,112,95,11,63,1,187,94,32,16,151,165,34,Real Estate;Biotechnology,8,10,9,1,5,4,Male,No Preference
83,Mentee,125,199,45,56,154,38,27,194,109,143,104,68,39,76,170,Information Technology,6,3,2,8,10,9,Female,No Preference
84,Mentee,108,102,84,159,116,183,185,57,182,40,92,69,16,67,10,Construction;Manufacturing;Hospitality,6,8,9,3,10,1,Female,No Preference
85,Mentee,135,20,26,19,103,30,11,155,173,131,108,99,175,3,154,Automotive,8,5,3,1,9,4,Female,No Preference
86,Mentee,73,92,12,56,151,195,76,164,71,128,123,95,80,0,105,Hospitality;Construction;Information Technology,6,8,2,7,1,5,Male,No Preference
87,Mentee,23,8,187,96,162,199,44,60,68,184,153,55,65,61,95,Transportation and Logistics,6,1,10,3,9,4,Male,Male
88,Mentee,89,22,187,172,193,102,98,36,114,137,65,77,166,0,170,Biotechnology;Pharmaceuticals,2,1,10,9,8,4,Male,Male
89,Mentee,138,95,30,97,173,186,124,180,24,153,33,137,88,1,121,Automotive;Energy;Real Estate,4,3,2,8,7,10,Male,No Preference
90,Mentee,154,20,108,103,113,1,72,69,62,127,176,3,173,99,11,Automotive,6,1,10,4,7,9,Male,No Preference
91,Mentee,131,15,29,30,147,117,152,96,58,189,175,87,83,62,141,Mining;Automotive;Transportation and Logistics,7,8,6,2,3,1,Male,No Preference
92,Mentee,8,29,6,145,80,194,77,170,47,166,82,175,197,19,96,Pharmaceuticals,2,10,6,1,8,3,Male,No Preference
93,Mentee,180,122,13,128,10,41,182,105,109,53,72,121,21,153,92,Construction;Energy;Agriculture,9,5,3,2,4,6,Male,No Preference
94,Mentee,175,21,31,185,57,121,180,123,102,105,160,186,14,163,42,Energy;Hospitality,10,6,7,1,3,8,Female,No Preference
95,Mentee,37,161,157,169,46,186,91,179,109,64,153,104,100,13,122,Agriculture,4,9,1,8,5,7,Male,No Preference
96,Mentee,124,114,143,94,33,57,11,194,139,95,112,137,24,111,81,Real Estate,3,2,6,10,1,7,Female,No Preference
97,Mentee,185,107,11,61,35,52,144,58,40,116,5,84,67,71,69,Manufacturing,5,2,3,6,7,1,Male,No Preference
98,Mentee,184,182,80,3,7,57,92,169,110,53,188,185,16,128,54,Construction,4,6,7,8,5,2,Male,No Preference
99,Mentee,83,25,39,75,56,156,42,0,116,199,188,86,65,70,143,Information Technology;Consumer Goods,10,8,4,2,1,7,Male,Male
100,Mentee,160,183,23,9,157,12,29,11,95,159,71,152,164,151,46,Manufacturing;Hospitality;Telecommunications,4,8,9,6,3,2,Male,No Preference
101,Mentee,24,148,138,82,3,15,187,123,100,99,177,134,30,69,2,Biotechnology;Automotive;Mining,6,4,1,5,7,9,Male,No Preference
102,Mentee,185,35,40,162,167,5,50,68,58,144,76,67,61,73,41,Manufacturing,10,2,7,5,6,9,Female,No Preference
103,Mentee,104,8,184,37,142,91,100,198,169,161,94,168,109,87,189,Transportation and Logistics;Agriculture,8,6,2,9,10,3,Female,No Preference
104,Mentee,149,77,82,173,7,145,170,197,129,122,19,47,65,175,6,Pharmaceuticals,5,3,4,9,2,1,Male,No Preference
105,Mentee,160,145,151,80,65,4,173,29,82,47,102,118,194,129,123,Hospitality;Pharmaceuticals,3,8,9,2,10,7,Male,No Preference
106,Mentee,85,127,148,19,8,29,142,149,198,103,13,135,108,153,91,Pharmaceuticals;Agriculture;Automotive,10,4,1,2,5,8,Female,No Preference
107,Mentee,41,28,84,127,74,185,168,59,162,133,157,78,11,68,99,Telecommunications;Manufacturing,6,5,2,1,10,7,Female,No Preference
108,Mentee,150,100,125,126,194,154,179,109,38,6,0,159,149,182,105,Information Technology,2,1,5,7,3,8,Female,Female
109,Mentee,6,10,47,65,153,7,70,145,45,38,122,170,17,198,29,Energy;Pharmaceuticals;Consumer Goods,4,7,1,10,3,8,Female,No Preference
110,Mentee,24,21,28,23,13,2,41,46,20,42,29,35,14,31,17,Energy;Telecommunications,9,10,1,8,2,3,Non-binary,Non-binary
111,Mentee,36,156,150,122,119,129,59,80,173,136,127,45,104,198,153,Consumer Goods;Pharmaceuticals;Energy,1,2,9,8,7,6,Female,No Preference
112,Mentee,86,157,38,104,144,56,45,65,101,52,156,83,16,10,92,Consumer Goods,4,5,1,2,6,9,Female,No Preference
113,Mentee,50,116,172,93,62,2,11,78,31,84,132,146,174,24,79,Manufacturing;Telecommunications,6,8,7,1,3,10,Female,No Preference
114,Mentee,17,26,187,175,167,18,138,41,155,69,159,148,71,4,39,Manufacturing;Automotive;Biotechnology,3,5,4,8,10,7,Female,No Preference
115,Mentee,162,113,11,99,67,78,152,14,199,23,16,30,194,93,72,Telecommunications;Automotive;Real Estate,9,7,2,8,6,3,Female,No Preference
116,Mentee,81,127,20,125,132,100,192,45,27,76,131,179,155,70,182,Automotive;Information Technology,6,9,4,5,1,3,Female,No Preference
117,Mentee,148,154,72,155,10,73,3,61,26,127,110,57,128,20,7,Construction;Automotive,1,4,7,5,10,3,Male,No Preference
118,Mentee,127,198,180,181,121,83,108,153,41,14,2,72,186,28,70,Energy;Automotive,2,4,10,6,7,1,Male,Male
119,Mentee,157,2,193,152,79,162,32,187,67,171,172,82,168,117,14,Telecommunications;Mining,2,4,1,8,10,6,Male,No Preference
120,Mentee,59,86,10,79,150,144,168,127,38,11,153,14,56,156,2,Real Estate;Energy;Consumer Goods,4,9,5,3,1,2,Male,No Preference
121,Mentee,166,126,145,187,19,70,45,122,4,107,6,24,173,123,0,Consumer Goods;Pharmaceuticals;Mining,2,3,5,9,8,10,Female,No Preference
122,Mentee,102,68,17,159,157,176,193,150,100,115,91,95,26,39,119,Agriculture;Biotechnology;Transportation and Logistics,2,9,6,4,1,10,Male,No Preference
123,Mentee,121,127,166,22,181,93,10,4,7,28,65,41,54,79,110,Energy;Pharmaceuticals;Construction,2,6,8,5,7,9,Male,No Preference
124,Mentee,95,61,123,20,60,115,187,23,162,68,132,199,15,101,85,Transportation and Logistics,8,7,5,6,4,3,Male,No Preference
125,Mentee,4,122,6,149,92,38,58,117,43,16,2,106,109,194,86,Mining;Pharmaceuticals;Consumer Goods,5,3,1,6,7,9,Female,No Preference
126,Mentee,125,147,6,61,199,159,56,132,143,38,150,189,101,95,170,Transportation and Logistics;Information Technology,5,1,9,2,7,4,Male,No Preference
127,Mentee,102,72,92,54,8,195,7,80,183,71,5,6,61,118,53,Hospitality;Construction,2,10,9,5,4,3,Male,No Preference
128,Mentee,135,106,193,67,128,9,109,0,32,55,123,130,82,29,18,Mining,8,6,10,1,9,4,Male,No Preference
129,Mentee,40,119,162,58,33,71,59,28,148,141,76,66,69,114,150,Energy;Manufacturing;Real Estate,5,7,6,8,1,2,Male,No Preference
130,Mentee,84,27,179,41,191,57,149,120,170,11,169,6,194,52,108,Information Technology;Construction;Manufacturing,7,9,4,3,10,2,Male,No Preference
131,Mentee,130,54,177,66,34,112,26,161,165,128,13,159,59,79,176,Energy;Biotechnology,9,3,10,4,1,7,Female,Female
132,Mentee,49,159,116,28,59,174,103,181,71,21,12,196,153,43,102,Energy;Hospitality;Agriculture,6,10,1,5,8,3,Female,No Preference
133,Mentee,108,6,116,191,8,184,53,61,110,118,188,117,102,164,93,Construction;Hospitality,4,1,3,8,2,7,Male,Male
134,Mentee,8,170,29,143,149,6,16,152,134,166,22,66,48,2,57,Real Estate;Telecommunications;Pharmaceuticals,9,1,10,8,5,7,Male,No Preference
135,Mentee,164,8,58,5,73,85,152,94,123,68,101,153,131,61,132,Manufacturing;Transportation and Logistics,10,3,4,6,5,2,Male,No Preference
136,Mentee,157,85,153,169,64,13,49,133,104,186,179,122,46,37,142,Agriculture,5,10,3,8,6,7,Male,No Preference
137,Mentee,132,104,100,61,62,67,154,73,116,175,41,35,162,113,14,Automotive;Agriculture;Manufacturing,4,9,6,2,3,7,Male,No Preference
138,Mentee,194,137,57,88,11,16,195,70,48,95,112,148,63,33,44,Real Estate,7,8,6,4,9,1,Male,No Preference
139,Mentee,30,175,154,26,62,19,113,18,173,103,135,176,132,131,11,Automotive,2,10,1,6,7,8,Female,No Preference
140,Mentee,170,1,155,197,145,175,108,19,54,96,83,122,29,128,22,Pharmaceuticals;Construction;Automotive,5,2,4,9,7,6,Male,No Preference
141,Mentee,51,17,8,103,157,2,168,105,69,174,158,141,127,6,175,Telecommunications;Energy;Hospitality,8,1,7,2,9,3,Non-binary,No Preference
142,Mentee,166,29,6,173,129,194,197,170,36,47,4,80,82,8,65,Pharmaceuticals,8,3,9,10,4,1,Male,No Preference
143,Mentee,199,74,59,139,171,23,62,35,2,99,28,79,91,132,11,Telecommunications;Manufacturing,4,2,10,1,6,9,Female,No Preference
144,Mentee,49,133,169,64,37,179,14,46,186,100,157,122,91,161,142,Agriculture,9,1,6,4,7,2,Male,No Preference
145,Mentee,1,3,70,19,11,154,176,72,20,83,148,18,113,108,62,Automotive,5,7,2,3,8,10,Female,No Preference
146,Mentee,135,6,117,22,55,68,36,87,184,106,0,170,60,173,61,Mining;Pharmaceuticals;Transportation and Logistics,7,6,9,10,8,3,Male,Male
147,Mentee,115,84,35,107,67,59,11,103,73,87,61,76,21,50,101,Transportation and Logistics;Manufacturing;Energy,10,1,4,2,5,6,Male,No Preference
148,Mentee,40,108,148,185,104,113,70,170,45,199,25,75,61,116,76,Information Technology;Automotive;Manufacturing,1,5,6,10,2,9,Male,Male
149,Mentee,75,167,67,24,152,28,41,99,146,144,50,68,78,35,73,Telecommunications;Manufacturing,10,8,1,2,4,7,Male,No Preference
150,Mentee,41,127,121,119,175,181,13,198,2,79,186,180,153,69,42,Energy,10,5,9,7,4,8,Female,No Preference
151,Mentee,19,193,162,135,153,20,87,58,152,184,128,2,95,8,196,Transportation and Logistics;Mining;Agriculture,8,5,3,1,6,9,Male,No Preference
152,Mentee,103,131,155,1,176,18,11,154,62,148,135,99,88,69,173,Automotive,9,10,2,4,8,5,Male,No Preference
153,Mentee,150,118,116,190,41,71,121,151,14,127,159,198,95,53,158,Hospitality;Energy,6,5,9,7,10,2,Male,No Preference
154,Mentee,10,57,72,185,54,61,7,92,80,73,188,184,3,110,5,Construction,3,6,7,8,5,10,Female,No Preference
155,Mentee,113,27,83,20,59,46,149,172,104,14,45,51,68,70,31,Telecommunications;Information Technology;Automotive,10,5,8,2,3,9,Male,No Preference
156,Mentee,184,61,10,35,6,117,40,72,190,110,41,8,164,57,196,Manufacturing;Hospitality;Construction,8,7,2,9,5,6,Male,Male
157,Mentee,101,184,123,189,164,17,121,153,141,79,178,15,150,180,94,Energy;Consumer Goods;Transportation and Logistics,1,7,4,5,10,2,Male,No Preference
158,Mentee,122,144,149,86,101,178,166,92,65,29,197,83,6,175,79,Pharmaceuticals;Consumer Goods,2,6,3,9,8,4,Male,No Preference
159,Mentee,15,162,94,199,189,152,101,23,119,55,153,123,61,19,65,Transportation and Logistics,9,10,7,3,4,8,Male,No Preference
160,Mentee,176,108,127,132,69,11,148,72,20,103,26,1,19,30,113,Automotive,4,1,3,7,5,8,Female,No Preference
161,Mentee,171,103,92,28,135,157,35,139,186,2,29,162,59,140,67,Telecommunications;Consumer Goods;Automotive,2,9,4,1,8,3,Male,No Preference
162,Mentee,188,104,159,63,88,25,81,100,148,73,27,56,149,112,125,Real Estate;Information Technology,10,4,6,3,7,5,Female,No Preference
163,Mentee,65,132,60,187,153,96,131,20,189,87,152,55,115,44,90,Transportation and Logistics,2,9,3,6,10,8,Female,No Preference
164,Mentee,88,19,185,173,31,160,127,118,9,26,154,30,12,180,1,Automotive;Hospitality,9,7,6,4,3,8,Non-binary,No Preference
165,Mentee,181,185,70,188,41,42,79,54,169,13,191,173,108,21,28,Automotive;Energy;Construction,7,6,4,2,5,3,Female,No Preference
166,Mentee,181,16,86,178,38,101,10,157,160,17,83,45,104,156,56,Consumer Goods,4,1,7,3,5,9,Male,No Preference
167,Mentee,99,20,19,18,131,139,189,119,54,4,150,161,134,123,85,Biotechnology;Automotive;Transportation and Logistics,3,2,5,4,9,1,Female,Female
168,Mentee,110,10,54,169,182,73,108,92,93,72,3,188,191,61,16,Construction,6,5,2,3,9,10,Female,No Preference
169,Mentee,169,128,72,182,53,185,110,16,5,7,188,61,191,73,80,Construction,8,5,1,9,10,2,Male,No Preference
170,Mentee,134,39,184,192,179,126,114,6,92,68,57,199,176,15,72,Construction;Information Technology;Biotechnology,2,8,3,4,9,6,Male,No Preference
171,Mentee,148,113,30,127,154,176,108,70,135,72,19,3,83,69,99,Automotive,5,4,9,10,6,2,Male,No Preference
172,Mentee,64,189,29,100,0,53,196,19,32,44,65,67,117,16,85,Mining;Transportation and Logistics;Construction,5,8,3,2,10,9,Male,No Preference
173,Mentee,141,127,158,14,198,79,105,13,181,186,175,103,119,21,153,Energy,7,8,4,2,10,3,Male,No Preference
174,Mentee,8,166,173,129,149,19,197,145,82,77,4,122,80,65,6,Pharmaceuticals,3,4,7,9,5,1,Male,No Preference
175,Mentee,153,143,61,114,134,8,123,147,43,2,131,132,16,196,9,Mining;Transportation and Logistics;Real Estate,8,3,5,7,9,6,Female,No Preference
176,Mentee,197,36,129,18,3,83,72,70,132,166,113,122,145,173,198,Automotive;Pharmaceuticals;Agriculture,4,3,7,5,6,9,Male,No Preference
177,Mentee,139,88,63,194,16,195,57,114,48,81,137,33,148,147,92,Real Estate,6,1,3,8,2,5,Female,No Preference
178,Mentee,108,35,40,70,41,135,173,72,175,185,83,61,127,113,116,Manufacturing;Automotive,3,1,5,7,4,6,Male,Male
179,Mentee,185,2,126,28,71,117,119,127,59,14,163,198,161,118,159,Hospitality;Energy,5,1,2,8,7,4,Male,No Preference
180,Mentee,10,53,92,110,80,72,185,5,73,184,191,93,3,108,57,Construction,6,2,9,8,3,5,Male,No Preference
181,Mentee,172,1,72,18,70,103,153,64,113,133,104,199,67,109,122,Agriculture;Telecommunications;Automotive,10,3,5,1,4,9,Female,No Preference
182,Mentee,197,172,164,184,4,53,0,150,193,60,10,15,93,3,130,Construction;Biotechnology,9,3,2,6,8,1,Male,No Preference
183,Mentee,74,59,31,24,46,99,199,93,174,14,20,23,62,67,35,Telecommunications,4,2,9,1,8,6,Male,No Preference
184,Mentee,94,123,95,14,153,96,13,187,126,44,184,186,158,65,180,Energy;Transportation and Logistics,7,10,2,1,5,9,Female,No Preference
185,Mentee,9,183,71,12,190,196,6,117,185,164,116,180,53,123,152,Hospitality,10,4,6,9,8,5,Female,No Preference
186,Mentee,143,134,72,185,94,147,112,92,5,81,110,194,184,73,48,Real Estate;Construction,4,2,6,10,1,7,Male,No Preference
187,Mentee,164,199,74,23,135,197,107,34,177,17,150,46,0,123,14,Telecommunications;Mining;Biotechnology,6,3,7,1,10,9,Female,No Preference
188,Mentee,77,6,117,7,196,5,155,19,9,122,102,173,170,160,161,Pharmaceuticals;Hospitality,5,9,2,3,10,1,Male,No Preference
189,Mentee,126,103,181,158,153,127,59,119,141,2,28,41,175,42,105,Energy,4,3,7,2,9,5,Female,No Preference
190,Mentee,161,126,177,20,0,148,88,165,108,83,181,4,16,156,138,Automotive;Biotechnology;Consumer Goods,8,4,5,10,9,2,Male,No Preference
191,Mentee,7,4,6,173,36,197,77,138,119,79,186,69,22,2,122,Energy;Pharmaceuticals,4,10,7,1,3,9,Female,No Preference
192,Mentee,19,192,77,170,145,8,75,197,147,191,175,82,96,188,150,Information Technology;Pharmaceuticals,6,5,8,3,10,7,Non-binary,No Preference
193,Mentee,178,182,83,17,192,109,0,100,129,68,181,42,179,101,81,Information Technology;Consumer Goods,4,5,9,7,1,10,Male,No Preference
